,Date,Regime
0,1/1/59,Normal
1,2/1/59,Normal
2,3/1/59,Normal
3,4/1/59,Normal
4,5/1/59,Normal
5,6/1/59,Normal
6,7/1/59,Normal
7,8/1/59,Normal
8,9/1/59,Normal
9,10/1/59,Normal
10,11/1/59,Normal
11,12/1/59,Normal
12,1/1/60,Normal
13,2/1/60,Normal
14,3/1/60,Normal
15,4/1/60,Recession
16,5/1/60,Recession
17,6/1/60,Recession
18,7/1/60,Recession
19,8/1/60,Recession
20,9/1/60,Recession
21,10/1/60,Recession
22,11/1/60,Recession
23,12/1/60,Recession
24,1/1/61,Recession
25,2/1/61,Normal
26,3/1/61,Normal
27,4/1/61,Normal
28,5/1/61,Normal
29,6/1/61,Normal
30,7/1/61,Normal
31,8/1/61,Normal
32,9/1/61,Normal
33,10/1/61,Normal
34,11/1/61,Normal
35,12/1/61,Normal
36,1/1/62,Normal
37,2/1/62,Normal
38,3/1/62,Normal
39,4/1/62,Normal
40,5/1/62,Normal
41,6/1/62,Normal
42,7/1/62,Normal
43,8/1/62,Normal
44,9/1/62,Normal
45,10/1/62,Normal
46,11/1/62,Normal
47,12/1/62,Normal
48,1/1/63,Normal
49,2/1/63,Normal
50,3/1/63,Normal
51,4/1/63,Normal
52,5/1/63,Normal
53,6/1/63,Normal
54,7/1/63,Normal
55,8/1/63,Normal
56,9/1/63,Normal
57,10/1/63,Normal
58,11/1/63,Normal
59,12/1/63,Normal
60,1/1/64,Normal
61,2/1/64,Normal
62,3/1/64,Normal
63,4/1/64,Normal
64,5/1/64,Normal
65,6/1/64,Normal
66,7/1/64,Normal
67,8/1/64,Normal
68,9/1/64,Normal
69,10/1/64,Normal
70,11/1/64,Normal
71,12/1/64,Normal
72,1/1/65,Normal
73,2/1/65,Normal
74,3/1/65,Normal
75,4/1/65,Normal
76,5/1/65,Normal
77,6/1/65,Normal
78,7/1/65,Normal
79,8/1/65,Normal
80,9/1/65,Normal
81,10/1/65,Normal
82,11/1/65,Normal
83,12/1/65,Normal
84,1/1/66,Normal
85,2/1/66,Normal
86,3/1/66,Normal
87,4/1/66,Normal
88,5/1/66,Normal
89,6/1/66,Normal
90,7/1/66,Normal
91,8/1/66,Normal
92,9/1/66,Normal
93,10/1/66,Normal
94,11/1/66,Normal
95,12/1/66,Normal
96,1/1/67,Normal
97,2/1/67,Normal
98,3/1/67,Normal
99,4/1/67,Normal
100,5/1/67,Normal
101,6/1/67,Normal
102,7/1/67,Normal
103,8/1/67,Normal
104,9/1/67,Normal
105,10/1/67,Normal
106,11/1/67,Normal
107,12/1/67,Normal
108,1/1/68,Normal
109,2/1/68,Normal
110,3/1/68,Normal
111,4/1/68,Normal
112,5/1/68,Normal
113,6/1/68,Normal
114,7/1/68,Normal
115,8/1/68,Normal
116,9/1/68,Normal
117,10/1/68,Normal
118,11/1/68,Normal
119,12/1/68,Normal
120,1/1/69,Normal
121,2/1/69,Normal
122,3/1/69,Normal
123,4/1/69,Normal
124,5/1/69,Normal
125,6/1/69,Normal
126,7/1/69,Normal
127,8/1/69,Normal
128,9/1/69,Normal
129,10/1/69,Normal
130,11/1/69,Normal
131,12/1/69,Recession
132,1/1/70,Recession
133,2/1/70,Recession
134,3/1/70,Recession
135,4/1/70,Recession
136,5/1/70,Recession
137,6/1/70,Recession
138,7/1/70,Recession
139,8/1/70,Recession
140,9/1/70,Recession
141,10/1/70,Recession
142,11/1/70,Normal
143,12/1/70,Normal
144,1/1/71,Normal
145,2/1/71,Normal
146,3/1/71,Normal
147,4/1/71,Normal
148,5/1/71,Normal
149,6/1/71,Normal
150,7/1/71,Normal
151,8/1/71,Normal
152,9/1/71,Normal
153,10/1/71,Normal
154,11/1/71,Normal
155,12/1/71,Normal
156,1/1/72,Normal
157,2/1/72,Normal
158,3/1/72,Normal
159,4/1/72,Normal
160,5/1/72,Normal
161,6/1/72,Normal
162,7/1/72,Normal
163,8/1/72,Normal
164,9/1/72,Normal
165,10/1/72,Normal
166,11/1/72,Normal
167,12/1/72,Normal
168,1/1/73,Normal
169,2/1/73,Normal
170,3/1/73,Normal
171,4/1/73,Normal
172,5/1/73,Normal
173,6/1/73,Normal
174,7/1/73,Normal
175,8/1/73,Normal
176,9/1/73,Normal
177,10/1/73,Normal
178,11/1/73,Recession
179,12/1/73,Recession
180,1/1/74,Recession
181,2/1/74,Recession
182,3/1/74,Recession
183,4/1/74,Recession
184,5/1/74,Recession
185,6/1/74,Recession
186,7/1/74,Recession
187,8/1/74,Recession
188,9/1/74,Recession
189,10/1/74,Recession
190,11/1/74,Recession
191,12/1/74,Recession
192,1/1/75,Recession
193,2/1/75,Recession
194,3/1/75,Normal
195,4/1/75,Normal
196,5/1/75,Normal
197,6/1/75,Normal
198,7/1/75,Normal
199,8/1/75,Normal
200,9/1/75,Normal
201,10/1/75,Normal
202,11/1/75,Normal
203,12/1/75,Normal
204,1/1/76,Normal
205,2/1/76,Normal
206,3/1/76,Normal
207,4/1/76,Normal
208,5/1/76,Normal
209,6/1/76,Normal
210,7/1/76,Normal
211,8/1/76,Normal
212,9/1/76,Normal
213,10/1/76,Normal
214,11/1/76,Normal
215,12/1/76,Normal
216,1/1/77,Normal
217,2/1/77,Normal
218,3/1/77,Normal
219,4/1/77,Normal
220,5/1/77,Normal
221,6/1/77,Normal
222,7/1/77,Normal
223,8/1/77,Normal
224,9/1/77,Normal
225,10/1/77,Normal
226,11/1/77,Normal
227,12/1/77,Normal
228,1/1/78,Normal
229,2/1/78,Normal
230,3/1/78,Normal
231,4/1/78,Normal
232,5/1/78,Normal
233,6/1/78,Normal
234,7/1/78,Normal
235,8/1/78,Normal
236,9/1/78,Normal
237,10/1/78,Normal
238,11/1/78,Normal
239,12/1/78,Normal
240,1/1/79,Normal
241,2/1/79,Normal
242,3/1/79,Normal
243,4/1/79,Normal
244,5/1/79,Normal
245,6/1/79,Normal
246,7/1/79,Normal
247,8/1/79,Normal
248,9/1/79,Normal
249,10/1/79,Normal
250,11/1/79,Normal
251,12/1/79,Normal
252,1/1/80,Recession
253,2/1/80,Recession
254,3/1/80,Recession
255,4/1/80,Recession
256,5/1/80,Recession
257,6/1/80,Recession
258,7/1/80,Normal
259,8/1/80,Normal
260,9/1/80,Normal
261,10/1/80,Normal
262,11/1/80,Normal
263,12/1/80,Normal
264,1/1/81,Normal
265,2/1/81,Normal
266,3/1/81,Normal
267,4/1/81,Normal
268,5/1/81,Normal
269,6/1/81,Normal
270,7/1/81,Recession
271,8/1/81,Recession
272,9/1/81,Recession
273,10/1/81,Recession
274,11/1/81,Recession
275,12/1/81,Recession
276,1/1/82,Recession
277,2/1/82,Recession
278,3/1/82,Recession
279,4/1/82,Recession
280,5/1/82,Recession
281,6/1/82,Recession
282,7/1/82,Recession
283,8/1/82,Recession
284,9/1/82,Recession
285,10/1/82,Recession
286,11/1/82,Normal
287,12/1/82,Normal
288,1/1/83,Normal
289,2/1/83,Normal
290,3/1/83,Normal
291,4/1/83,Normal
292,5/1/83,Normal
293,6/1/83,Normal
294,7/1/83,Normal
295,8/1/83,Normal
296,9/1/83,Normal
297,10/1/83,Normal
298,11/1/83,Normal
299,12/1/83,Normal
300,1/1/84,Normal
301,2/1/84,Normal
302,3/1/84,Normal
303,4/1/84,Normal
304,5/1/84,Normal
305,6/1/84,Normal
306,7/1/84,Normal
307,8/1/84,Normal
308,9/1/84,Normal
309,10/1/84,Normal
310,11/1/84,Normal
311,12/1/84,Normal
312,1/1/85,Normal
313,2/1/85,Normal
314,3/1/85,Normal
315,4/1/85,Normal
316,5/1/85,Normal
317,6/1/85,Normal
318,7/1/85,Normal
319,8/1/85,Normal
320,9/1/85,Normal
321,10/1/85,Normal
322,11/1/85,Normal
323,12/1/85,Normal
324,1/1/86,Normal
325,2/1/86,Normal
326,3/1/86,Normal
327,4/1/86,Normal
328,5/1/86,Normal
329,6/1/86,Normal
330,7/1/86,Normal
331,8/1/86,Normal
332,9/1/86,Normal
333,10/1/86,Normal
334,11/1/86,Normal
335,12/1/86,Normal
336,1/1/87,Normal
337,2/1/87,Normal
338,3/1/87,Normal
339,4/1/87,Normal
340,5/1/87,Normal
341,6/1/87,Normal
342,7/1/87,Normal
343,8/1/87,Normal
344,9/1/87,Normal
345,10/1/87,Normal
346,11/1/87,Normal
347,12/1/87,Normal
348,1/1/88,Normal
349,2/1/88,Normal
350,3/1/88,Normal
351,4/1/88,Normal
352,5/1/88,Normal
353,6/1/88,Normal
354,7/1/88,Normal
355,8/1/88,Normal
356,9/1/88,Normal
357,10/1/88,Normal
358,11/1/88,Normal
359,12/1/88,Normal
360,1/1/89,Normal
361,2/1/89,Normal
362,3/1/89,Normal
363,4/1/89,Normal
364,5/1/89,Normal
365,6/1/89,Normal
366,7/1/89,Normal
367,8/1/89,Normal
368,9/1/89,Normal
369,10/1/89,Normal
370,11/1/89,Normal
371,12/1/89,Normal
372,1/1/90,Normal
373,2/1/90,Normal
374,3/1/90,Normal
375,4/1/90,Normal
376,5/1/90,Normal
377,6/1/90,Normal
378,7/1/90,Recession
379,8/1/90,Recession
380,9/1/90,Recession
381,10/1/90,Recession
382,11/1/90,Recession
383,12/1/90,Recession
384,1/1/91,Recession
385,2/1/91,Recession
386,3/1/91,Normal
387,4/1/91,Normal
388,5/1/91,Normal
389,6/1/91,Normal
390,7/1/91,Normal
391,8/1/91,Normal
392,9/1/91,Normal
393,10/1/91,Normal
394,11/1/91,Normal
395,12/1/91,Normal
396,1/1/92,Normal
397,2/1/92,Normal
398,3/1/92,Normal
399,4/1/92,Normal
400,5/1/92,Normal
401,6/1/92,Normal
402,7/1/92,Normal
403,8/1/92,Normal
404,9/1/92,Normal
405,10/1/92,Normal
406,11/1/92,Normal
407,12/1/92,Normal
408,1/1/93,Normal
409,2/1/93,Normal
410,3/1/93,Normal
411,4/1/93,Normal
412,5/1/93,Normal
413,6/1/93,Normal
414,7/1/93,Normal
415,8/1/93,Normal
416,9/1/93,Normal
417,10/1/93,Normal
418,11/1/93,Normal
419,12/1/93,Normal
420,1/1/94,Normal
421,2/1/94,Normal
422,3/1/94,Normal
423,4/1/94,Normal
424,5/1/94,Normal
425,6/1/94,Normal
426,7/1/94,Normal
427,8/1/94,Normal
428,9/1/94,Normal
429,10/1/94,Normal
430,11/1/94,Normal
431,12/1/94,Normal
432,1/1/95,Normal
433,2/1/95,Normal
434,3/1/95,Normal
435,4/1/95,Normal
436,5/1/95,Normal
437,6/1/95,Normal
438,7/1/95,Normal
439,8/1/95,Normal
440,9/1/95,Normal
441,10/1/95,Normal
442,11/1/95,Normal
443,12/1/95,Normal
444,1/1/96,Normal
445,2/1/96,Normal
446,3/1/96,Normal
447,4/1/96,Normal
448,5/1/96,Normal
449,6/1/96,Normal
450,7/1/96,Normal
451,8/1/96,Normal
452,9/1/96,Normal
453,10/1/96,Normal
454,11/1/96,Normal
455,12/1/96,Normal
456,1/1/97,Normal
457,2/1/97,Normal
458,3/1/97,Normal
459,4/1/97,Normal
460,5/1/97,Normal
461,6/1/97,Normal
462,7/1/97,Normal
463,8/1/97,Normal
464,9/1/97,Normal
465,10/1/97,Normal
466,11/1/97,Normal
467,12/1/97,Normal
468,1/1/98,Normal
469,2/1/98,Normal
470,3/1/98,Normal
471,4/1/98,Normal
472,5/1/98,Normal
473,6/1/98,Normal
474,7/1/98,Normal
475,8/1/98,Normal
476,9/1/98,Normal
477,10/1/98,Normal
478,11/1/98,Normal
479,12/1/98,Normal
480,1/1/99,Normal
481,2/1/99,Normal
482,3/1/99,Normal
483,4/1/99,Normal
484,5/1/99,Normal
485,6/1/99,Normal
486,7/1/99,Normal
487,8/1/99,Normal
488,9/1/99,Normal
489,10/1/99,Normal
490,11/1/99,Normal
491,12/1/99,Normal
492,1/1/00,Normal
493,2/1/00,Normal
494,3/1/00,Normal
495,4/1/00,Normal
496,5/1/00,Normal
497,6/1/00,Normal
498,7/1/00,Normal
499,8/1/00,Normal
500,9/1/00,Normal
501,10/1/00,Normal
502,11/1/00,Normal
503,12/1/00,Normal
504,1/1/01,Normal
505,2/1/01,Normal
506,3/1/01,Recession
507,4/1/01,Recession
508,5/1/01,Recession
509,6/1/01,Recession
510,7/1/01,Recession
511,8/1/01,Recession
512,9/1/01,Recession
513,10/1/01,Recession
514,11/1/01,Normal
515,12/1/01,Normal
516,1/1/02,Normal
517,2/1/02,Normal
518,3/1/02,Normal
519,4/1/02,Normal
520,5/1/02,Normal
521,6/1/02,Normal
522,7/1/02,Normal
523,8/1/02,Normal
524,9/1/02,Normal
525,10/1/02,Normal
526,11/1/02,Normal
527,12/1/02,Normal
528,1/1/03,Normal
529,2/1/03,Normal
530,3/1/03,Normal
531,4/1/03,Normal
532,5/1/03,Normal
533,6/1/03,Normal
534,7/1/03,Normal
535,8/1/03,Normal
536,9/1/03,Normal
537,10/1/03,Normal
538,11/1/03,Normal
539,12/1/03,Normal
540,1/1/04,Normal
541,2/1/04,Normal
542,3/1/04,Normal
543,4/1/04,Normal
544,5/1/04,Normal
545,6/1/04,Normal
546,7/1/04,Normal
547,8/1/04,Normal
548,9/1/04,Normal
549,10/1/04,Normal
550,11/1/04,Normal
551,12/1/04,Normal
552,1/1/05,Normal
553,2/1/05,Normal
554,3/1/05,Normal
555,4/1/05,Normal
556,5/1/05,Normal
557,6/1/05,Normal
558,7/1/05,Normal
559,8/1/05,Normal
560,9/1/05,Normal
561,10/1/05,Normal
562,11/1/05,Normal
563,12/1/05,Normal
564,1/1/06,Normal
565,2/1/06,Normal
566,3/1/06,Normal
567,4/1/06,Normal
568,5/1/06,Normal
569,6/1/06,Normal
570,7/1/06,Normal
571,8/1/06,Normal
572,9/1/06,Normal
573,10/1/06,Normal
574,11/1/06,Normal
575,12/1/06,Normal
576,1/1/07,Normal
577,2/1/07,Normal
578,3/1/07,Normal
579,4/1/07,Normal
580,5/1/07,Normal
581,6/1/07,Normal
582,7/1/07,Normal
583,8/1/07,Normal
584,9/1/07,Normal
585,10/1/07,Normal
586,11/1/07,Normal
587,12/1/07,Recession
588,1/1/08,Recession
589,2/1/08,Recession
590,3/1/08,Recession
591,4/1/08,Recession
592,5/1/08,Recession
593,6/1/08,Recession
594,7/1/08,Recession
595,8/1/08,Recession
596,9/1/08,Recession
597,10/1/08,Recession
598,11/1/08,Recession
599,12/1/08,Recession
600,1/1/09,Recession
601,2/1/09,Recession
602,3/1/09,Recession
603,4/1/09,Recession
604,5/1/09,Recession
605,6/1/09,Normal
606,7/1/09,Normal
607,8/1/09,Normal
608,9/1/09,Normal
609,10/1/09,Normal
610,11/1/09,Normal
611,12/1/09,Normal
612,1/1/10,Normal
613,2/1/10,Normal
614,3/1/10,Normal
615,4/1/10,Normal
616,5/1/10,Normal
617,6/1/10,Normal
618,7/1/10,Normal
619,8/1/10,Normal
620,9/1/10,Normal
621,10/1/10,Normal
622,11/1/10,Normal
623,12/1/10,Normal
624,1/1/11,Normal
625,2/1/11,Normal
626,3/1/11,Normal
627,4/1/11,Normal
628,5/1/11,Normal
629,6/1/11,Normal
630,7/1/11,Normal
631,8/1/11,Normal
632,9/1/11,Normal
633,10/1/11,Normal
634,11/1/11,Normal
635,12/1/11,Normal
636,1/1/12,Normal
637,2/1/12,Normal
638,3/1/12,Normal
639,4/1/12,Normal
640,5/1/12,Normal
641,6/1/12,Normal
642,7/1/12,Normal
643,8/1/12,Normal
644,9/1/12,Normal
645,10/1/12,Normal
646,11/1/12,Normal
647,12/1/12,Normal
648,1/1/13,Normal
649,2/1/13,Normal
650,3/1/13,Normal
651,4/1/13,Normal
652,5/1/13,Normal
653,6/1/13,Normal
654,7/1/13,Normal
655,8/1/13,Normal
656,9/1/13,Normal
657,10/1/13,Normal
658,11/1/13,Normal
659,12/1/13,Normal
660,1/1/14,Normal
661,2/1/14,Normal
662,3/1/14,Normal
663,4/1/14,Normal
664,5/1/14,Normal
665,6/1/14,Normal
666,7/1/14,Normal
667,8/1/14,Normal
668,9/1/14,Normal
669,10/1/14,Normal
670,11/1/14,Normal
671,12/1/14,Normal
672,1/1/15,Normal
673,2/1/15,Normal
674,3/1/15,Normal
675,4/1/15,Normal
676,5/1/15,Normal
677,6/1/15,Normal
678,7/1/15,Normal
679,8/1/15,Normal
680,9/1/15,Normal
681,10/1/15,Normal
682,11/1/15,Normal
683,12/1/15,Normal
684,1/1/16,Normal
685,2/1/16,Normal
686,3/1/16,Normal
687,4/1/16,Normal
688,5/1/16,Normal
689,6/1/16,Normal
690,7/1/16,Normal
691,8/1/16,Normal
692,9/1/16,Normal
693,10/1/16,Normal
694,11/1/16,Normal
695,12/1/16,Normal
696,1/1/17,Normal
697,2/1/17,Normal
698,3/1/17,Normal
699,4/1/17,Normal
700,5/1/17,Normal
701,6/1/17,Normal
702,7/1/17,Normal
703,8/1/17,Normal
704,9/1/17,Normal
705,10/1/17,Normal
706,11/1/17,Normal
707,12/1/17,Normal
708,1/1/18,Normal
709,2/1/18,Normal
710,3/1/18,Normal
711,4/1/18,Normal
712,5/1/18,Normal
713,6/1/18,Normal
714,7/1/18,Normal
715,8/1/18,Normal
716,9/1/18,Normal
717,10/1/18,Normal
718,11/1/18,Normal
719,12/1/18,Normal
720,1/1/19,Normal
