DATE,SP500,SP500TR
1/1/85,0.5585,84.7932
2/1/85,7.4747,91.1312
3/1/85,5.5791,96.2155
4/1/85,-1.1260,95.1321
5/1/85,5.3201,100.1932
6/1/85,1.6899,101.8864
7/1/85,-5.5932,96.1877
8/1/85,7.4157,103.3207
9/1/85,-8.2671,94.7791
10/1/85,5.7669,100.2449
11/1/85,2.4305,102.6813
12/1/85,-2.5520,100.0609
1/1/86,7.7912,107.8569
2/1/86,1.2247,109.1778
3/1/86,0.0662,109.2501
4/1/86,-0.0941,109.1472
5/1/86,5.7777,115.4534
6/1/86,1.5669,117.2625
7/1/86,-0.1460,117.0913
8/1/86,-0.8590,116.0855
9/1/86,-3.1278,112.4545
10/1/86,4.6189,117.6487
11/1/86,6.8591,125.7184
12/1/86,4.8375,131.8000
1/1/87,13.4657,149.5478
2/1/87,3.9514,155.4570
3/1/87,2.8853,159.9424
4/1/87,-0.8879,158.5223
5/1/87,0.8670,159.8967
6/1/87,5.0500,167.9714
7/1/87,5.0658,176.4805
8/1/87,3.7312,183.0654
9/1/87,-2.1922,179.0522
10/1/87,-21.5362,140.4912
11/1/87,-8.2410,128.9133
12/1/87,7.6075,138.7204
1/1/88,4.2062,144.5552
2/1/88,4.6615,151.2937
3/1/88,-3.0893,146.6198
4/1/88,1.1060,148.2414
5/1/88,0.8649,149.5235
6/1/88,4.5890,156.3852
7/1/88,-0.3792,155.7921
8/1/88,-3.3967,150.5003
9/1/88,4.2605,156.9124
10/1/88,2.7843,161.2813
11/1/88,-1.4251,158.9829
12/1/88,1.7445,161.7564
1/1/89,7.3095,173.5799
2/1/89,-2.4921,169.2542
3/1/89,2.3329,173.2027
4/1/89,5.1920,182.1954
5/1/89,4.0458,189.5666
6/1/89,-0.5672,188.4914
7/1/89,9.0291,205.5105
8/1/89,1.9549,209.5280
9/1/89,-0.4058,208.6777
10/1/89,-2.3220,203.8323
11/1/89,2.0394,207.9892
12/1/89,2.4015,212.9841
1/1/90,-6.7140,198.6843
2/1/90,1.2827,201.2328
3/1/90,2.6458,206.5571
4/1/90,-2.5085,201.3756
5/1/90,9.7414,220.9924
6/1/90,-0.6773,219.4956
7/1/90,-0.3304,218.7704
8/1/90,-9.0449,198.9828
9/1/90,-4.8725,189.2874
10/1/90,-0.4360,188.4621
11/1/90,6.4574,200.6318
12/1/90,2.7823,206.2140
1/1/91,4.3465,215.1771
2/1/91,7.1427,230.5466
3/1/91,2.4268,236.1415
4/1/91,0.2274,236.6785
5/1/91,4.3137,246.8881
6/1/91,-4.5823,235.5749
7/1/91,4.6551,246.5412
8/1/91,2.3655,252.3731
9/1/91,-1.6735,248.1496
10/1/91,1.3433,251.4830
11/1/91,-4.0317,241.3440
12/1/91,11.4341,268.9395
1/1/92,-1.8632,263.9286
2/1/92,1.2939,267.3436
3/1/92,-1.9454,262.1427
4/1/92,2.9354,269.8376
5/1/92,0.4976,271.1803
6/1/92,-1.4876,267.1462
7/1/92,4.0851,278.0594
8/1/92,-2.0473,272.3667
9/1/92,1.1754,275.5681
10/1/92,0.3451,276.5191
11/1/92,3.4044,285.9329
12/1/92,1.2271,289.4416
1/1/93,0.8361,291.8616
2/1/93,1.3622,295.8374
3/1/93,2.1305,302.1402
4/1/93,-2.4173,294.8365
5/1/93,2.6725,302.7161
6/1/93,0.3083,303.6493
7/1/93,-0.4018,302.4293
8/1/93,3.7925,313.8989
9/1/93,-0.7592,311.5158
10/1/93,2.0686,317.9598
11/1/93,-0.9534,314.9284
12/1/93,1.2089,318.7355
1/1/94,3.4003,329.5735
2/1/94,-2.7144,320.6275
3/1/94,-4.3582,306.6540
4/1/94,1.2822,310.5859
5/1/94,1.6397,315.6786
6/1/94,-2.4493,307.9466
7/1/94,3.2785,318.0427
8/1/94,4.0999,331.0821
9/1/94,-2.4478,322.9779
10/1/94,2.2451,330.2290
11/1/94,-3.6418,318.2028
12/1/94,1.4824,322.9198
1/1/95,2.5897,331.2825
2/1/95,3.8974,344.1939
3/1/95,2.9502,354.3483
4/1/95,2.9414,364.7711
5/1/95,3.9949,379.3433
6/1/95,2.3223,388.1528
7/1/95,3.3130,401.0123
8/1/95,0.2486,402.0092
9/1/95,4.2205,418.9760
10/1/95,-0.3613,417.4623
11/1/95,4.3886,435.7830
12/1/95,1.9247,444.1705
1/1/96,3.3935,459.2434
2/1/96,0.9264,463.4979
3/1/96,0.9626,467.9595
4/1/96,1.4665,474.8221
5/1/96,2.5723,487.0360
6/1/96,0.3798,488.8857
7/1/96,-4.4245,467.2550
8/1/96,2.1097,477.1127
9/1/96,5.6288,503.9684
10/1/96,2.7526,517.8406
11/1/96,7.5581,556.9795
12/1/96,-1.9817,545.9419
1/1/97,6.2413,580.0157
2/1/97,0.7838,584.5619
3/1/97,-4.1085,560.5452
4/1/97,5.9640,593.9761
5/1/97,6.0880,630.1374
6/1/97,4.4803,658.3694
7/1/97,7.9483,710.6986
8/1/97,-5.6051,670.8632
9/1/97,5.4765,707.6030
10/1/97,-3.3440,683.9408
11/1/97,4.6300,715.6073
12/1/97,1.7174,727.8971
1/1/98,1.1015,735.9149
2/1/98,7.2127,788.9942
3/1/98,5.1201,829.3915
4/1/98,1.0005,837.6896
5/1/98,-1.7216,823.2679
6/1/98,4.0610,856.7008
7/1/98,-1.0688,847.5444
8/1/98,-14.4580,725.0064
9/1/98,6.4065,771.4540
10/1/98,8.1331,834.1971
11/1/98,6.0608,884.7561
12/1/98,5.7624,935.7393
1/1/99,4.1816,974.8682
2/1/99,-3.1086,944.5634
3/1/99,4.0008,982.3535
4/1/99,3.8717,1020.3873
5/1/99,-2.3263,996.6500
6/1/99,5.5497,1051.9611
7/1/99,-3.1225,1019.1136
8/1/99,-0.4935,1014.0843
9/1/99,-2.7416,986.2822
10/1/99,6.3274,1048.6882
11/1/99,2.0329,1070.0070
12/1/99,5.8894,1133.0239
1/1/00,-5.0242,1076.0986
2/1/00,-1.8938,1055.7194
3/1/00,9.7831,1159.0015
4/1/00,-3.0092,1124.1248
5/1/00,-2.0523,1101.0544
6/1/00,2.4653,1128.1987
7/1/00,-1.5572,1110.6304
8/1/00,6.2115,1179.6172
9/1/00,-5.2796,1117.3381
10/1/00,-0.4233,1112.6084
11/1/00,-7.8835,1024.8959
12/1/00,0.4894,1029.9118
1/1/01,3.5479,1066.4520
2/1/01,-9.1190,969.2023
3/1/01,-6.3350,907.8033
4/1/01,7.7702,978.3414
5/1/01,0.6699,984.8953
6/1/01,-2.4339,960.9240
7/1/01,-0.9854,951.4550
8/1/01,-6.2599,891.8949
9/1/01,-8.0766,819.8601
10/1/01,1.9054,835.4817
11/1/01,7.6715,899.5757
12/1/01,0.8764,907.4596
1/1/02,-1.4592,894.2179
2/1/02,-1.9299,876.9604
3/1/02,3.7603,909.9368
4/1/02,-6.0636,854.7618
5/1/02,-0.7370,848.4623
6/1/02,-7.1145,788.0984
7/1/02,-7.7952,726.6646
8/1/02,0.6548,731.4228
9/1/02,-10.8679,651.9325
10/1/02,8.8016,709.3130
11/1/02,5.8860,751.0631
12/1/02,-5.8748,706.9397
1/1/03,-2.6197,688.4200
2/1/03,-1.5004,678.0909
3/1/03,0.9751,684.7030
4/1/03,8.2370,741.1020
5/1/03,5.2683,780.1454
6/1/03,1.2752,790.0938
7/1/03,1.7632,804.0248
8/1/03,1.9496,819.7000
9/1/03,-1.0624,810.9915
10/1/03,5.6570,856.8693
11/1/03,0.8793,864.4038
12/1/03,5.2445,909.7374
1/1/04,1.8355,926.4357
2/1/04,1.3894,939.3076
3/1/04,-1.5087,925.1362
4/1/04,-1.5685,910.6255
5/1/04,1.3715,923.1147
6/1/04,1.9445,941.0647
7/1/04,-3.3096,909.9192
8/1/04,0.4091,913.6417
9/1/04,1.0831,923.5373
10/1/04,1.5277,937.6462
11/1/04,4.3554,978.4845
12/1/04,3.4097,1011.8478
1/1/05,-2.4375,987.1840
2/1/05,2.1046,1007.9603
3/1/05,-1.7660,990.1597
4/1/05,-1.8966,971.3804
5/1/05,3.1819,1002.2887
6/1/05,0.1423,1003.7150
7/1/05,3.7188,1041.0411
8/1/05,-0.9117,1031.5500
9/1/05,0.8111,1039.9169
10/1/05,-1.6671,1022.5804
11/1/05,3.7965,1061.4027
12/1/05,0.0356,1061.7805
1/1/06,2.6502,1089.9198
2/1/06,0.2749,1092.9160
3/1/06,1.2448,1106.5207
4/1/06,1.3428,1121.3790
5/1/06,-2.8748,1089.1416
6/1/06,0.1356,1090.6185
7/1/06,0.6169,1097.3465
8/1/06,2.3793,1123.4557
9/1/06,2.5772,1152.4094
10/1/06,3.2639,1190.0229
11/1/06,1.9019,1212.6559
12/1/06,1.4074,1229.7228
1/1/07,1.5123,1248.3199
2/1/07,-1.9557,1223.9065
3/1/07,1.1437,1237.9044
4/1/07,4.4463,1292.9453
5/1/07,3.4895,1338.0626
6/1/07,-1.6613,1315.8334
7/1/07,-3.0932,1275.1320
8/1/07,1.5105,1294.3929
9/1/07,3.7399,1342.8019
10/1/07,1.5907,1364.1618
11/1/07,-4.1027,1308.1944
12/1/07,-0.6788,1299.3144
1/1/08,-5.9982,1221.3789
2/1/08,-3.2483,1181.7048
3/1/08,-0.4318,1176.6022
4/1/08,4.8721,1233.9275
5/1/08,1.2953,1249.9105
6/1/08,-8.4304,1144.5381
7/1/08,-0.8400,1134.9240
8/1/08,1.4465,1151.3406
9/1/08,-8.9058,1048.8045
10/1/08,-16.7949,872.6589
11/1/08,-7.1755,810.0412
12/1/08,1.0653,818.6706
1/1/09,-8.4286,749.6681
2/1/09,-10.6478,669.8450
3/1/09,8.7591,728.5174
4/1/09,9.5709,798.2430
5/1/09,5.5904,842.8680
6/1/09,0.1984,844.5402
7/1/09,7.5638,908.4196
8/1/09,3.6084,941.1990
9/1/09,3.7315,976.3198
10/1/09,-1.8577,958.1827
11/1/09,6.0022,1015.6948
12/1/09,1.9361,1035.3597
1/1/10,-3.5974,998.1136
2/1/10,3.0985,1029.0402
3/1/10,6.0372,1091.1654
4/1/10,1.5788,1108.3927
5/1/10,-7.9851,1019.8864
6/1/10,-5.2352,966.4933
7/1/10,7.0100,1034.2445
8/1/10,-4.5148,987.5505
9/1/10,8.9245,1075.6844
10/1/10,3.8384,1116.9735
11/1/10,0.0186,1117.1812
12/1/10,6.7085,1192.1273
1/1/11,2.3701,1220.3819
2/1/11,3.4258,1262.1898
3/1/11,0.0429,1262.7313
4/1/11,2.9616,1300.1283
5/1/11,-1.1249,1285.5032
6/1/11,-1.6647,1264.1034
7/1/11,-2.0334,1238.3991
8/1/11,-5.4329,1171.1181
9/1/11,-7.0299,1088.7897
10/1/11,10.9293,1207.7868
11/1/11,-0.2180,1205.1538
12/1/11,1.0320,1217.5910
1/1/12,4.4816,1272.1586
2/1/12,4.3249,1327.1781
3/1/12,3.2910,1370.8556
4/1/12,-0.6276,1362.2521
5/1/12,-6.0102,1280.3780
6/1/12,4.1204,1333.1347
7/1/12,1.3894,1351.6573
8/1/12,2.2556,1382.1453
9/1/12,2.5842,1417.8627
10/1/12,-1.8448,1391.7059
11/1/12,0.6021,1400.0854
12/1/12,0.9643,1413.5864
1/1/13,5.1791,1486.7975
2/1/13,1.3577,1506.9837
3/1/13,3.7505,1563.5031
4/1/13,1.9265,1593.6240
5/1/13,2.3388,1630.8957
6/1/13,-1.3336,1609.1461
7/1/13,4.3000,1678.3394
8/1/13,-2.8900,1629.8354
9/1/13,3.1400,1681.0122
10/1/13,4.4900,1756.4896
11/1/13,2.8000,1805.6714
12/1/13,2.3600,1848.2852
1/1/14,-3.5600,1782.4862
2/1/14,4.3100,1859.3114
3/1/14,0.6900,1872.1406
4/1/14,0.6200,1883.7479
5/1/14,2.1000,1923.3066
6/1/14,1.9100,1960.0418
7/1/14,-1.5100,1930.4452
8/1/14,3.7700,2003.2229
9/1/14,-1.5500,1972.1730
10/1/14,2.3200,2017.9274
11/1/14,2.4500,2067.3666
12/1/14,-0.4200,2058.6837
1/1/15,-3.1000,1994.8645
2/1/15,5.4900,2104.3825
3/1/15,-1.7400,2067.7663
4/1/15,0.8500,2085.3423
5/1/15,1.0500,2107.2384
6/1/15,-2.1000,2062.9864
7/1/15,1.9700,2103.6272
8/1/15,-6.2600,1971.9402
9/1/15,-2.6400,1919.8809
10/1/15,8.3000,2079.2310
11/1/15,0.0500,2080.2707
12/1/15,-1.7500,2043.8659
1/1/16,-5.0700,1940.2419
2/1/16,-0.4100,1932.2869
3/1/16,6.6000,2059.8179
4/1/16,0.2700,2065.3794
5/1/16,1.5300,2096.9797
6/1/16,0.0900,2098.8670
7/1/16,3.5600,2173.5866
8/1/16,-0.1200,2170.9783
9/1/16,-0.1200,2168.3732
10/1/16,-1.9400,2126.3067
11/1/16,3.4200,2199.0264
12/1/16,1.8200,2239.0487
1/1/17,1.7900,2279.1277
2/1/17,3.7200,2363.9112
3/1/17,-0.0400,2362.9656
4/1/17,0.9100,2384.4686
5/1/17,1.1600,2412.1285
6/1/17,0.4800,2423.7067
7/1/17,1.9300,2470.4842
8/1/17,0.0500,2471.7195
9/1/17,1.9300,2519.4236
10/1/17,2.2200,2575.3548
11/1/17,2.8100,2647.7223
12/1/17,0.9800,2673.6700